text,label
The sun revolves around the earth,Hoax
NASA launched a new satellite,Factual
The moon landing was fake,Hoax
Bananas grow in tropical regions,Factual
Climate change is a government conspiracy,Hoax
The stock market closed higher today,Factual
Vaccines contain microchips for tracking,Hoax
Scientists discovered a new species in the ocean,Factual
Drinking bleach cures coronavirus,Hoax
The temperature today reached 30 degrees Celsius,Factual
The sun revolves around the earth,Hoax
The city government announced a new policy,Factual
Vaccines contain microchips for tracking,Hoax
Indonesia won 2 gold medals in the Olympics,Factual
The sun revolves around the earth,Hoax
A new hospital was inaugurated in Surabaya,Factual
The moon landing was fake,Hoax
A new hospital was inaugurated in Surabaya,Factual
Drinking bleach cures coronavirus,Hoax
The temperature today reached 30 degrees Celsius,Factual
Chocolate helps you lose 20kg in a week,Hoax
The city government announced a new policy,Factual
COVID-19 is caused by WiFi signals,Hoax
The central bank adjusted interest rates,Factual
The government controls the weather,Hoax
Researchers published findings in a scientific journal,Factual
COVID-19 is caused by WiFi signals,Hoax
WHO approved several COVID-19 vaccines,Factual
Aliens built the pyramids,Hoax
The temperature today reached 30 degrees Celsius,Factual
Drinking bleach cures coronavirus,Hoax
WHO approved several COVID-19 vaccines,Factual
Garlic can cure all viruses,Hoax
The earth revolves around the sun,Factual
Vaccines contain microchips for tracking,Hoax
Researchers published findings in a scientific journal,Factual
The sun revolves around the earth,Hoax
Scientists discovered a new species in the ocean,Factual
Garlic can cure all viruses,Hoax
WHO approved several COVID-19 vaccines,Factual
Drinking bleach cures coronavirus,Hoax
The city government announced a new policy,Factual
Climate change is a government conspiracy,Hoax
The central bank adjusted interest rates,Factual
Aliens built the pyramids,Hoax
The president held a meeting in Jakarta,Factual
Hospitals implant tracking devices secretly,Hoax
Bananas grow in tropical regions,Factual
Drinking bleach cures coronavirus,Hoax
Bananas grow in tropical regions,Factual
Drinking bleach cures coronavirus,Hoax
The stock market closed higher today,Factual
Banks will erase all debts next month,Hoax
The earth revolves around the sun,Factual
5G towers spread COVID-19,Hoax
Researchers published findings in a scientific journal,Factual
Climate change is a government conspiracy,Hoax
Researchers published findings in a scientific journal,Factual
Climate change is a government conspiracy,Hoax
The temperature today reached 30 degrees Celsius,Factual
Drinking bleach cures coronavirus,Hoax
A new hospital was inaugurated in Surabaya,Factual
Scientists confirm humans can photosynthesize,Hoax
Researchers published findings in a scientific journal,Factual
COVID-19 is caused by WiFi signals,Hoax
NASA launched a new satellite,Factual
Drinking bleach cures coronavirus,Hoax
NASA launched a new satellite,Factual
The earth is flat and NASA hides the truth,Hoax
WHO approved several COVID-19 vaccines,Factual
Hospitals implant tracking devices secretly,Hoax
The city government announced a new policy,Factual
Drinking bleach cures coronavirus,Hoax
The stock market closed higher today,Factual
The government controls the weather,Hoax
The president held a meeting in Jakarta,Factual
Climate change is a government conspiracy,Hoax
The stock market closed higher today,Factual
Aliens built the pyramids,Hoax
The central bank adjusted interest rates,Factual
The government controls the weather,Hoax
Bananas grow in tropical regions,Factual
COVID-19 is caused by WiFi signals,Hoax
The central bank adjusted interest rates,Factual
Drinking bleach cures coronavirus,Hoax
Researchers published findings in a scientific journal,Factual
Vaccines contain microchips for tracking,Hoax
Scientists discovered a new species in the ocean,Factual
The moon landing was fake,Hoax
WHO approved several COVID-19 vaccines,Factual
COVID-19 is caused by WiFi signals,Hoax
Water boils at 100 degrees Celsius,Factual
Vaccines contain microchips for tracking,Hoax
The Indonesian parliament passed a new law,Factual
5G towers spread COVID-19,Hoax
The earth revolves around the sun,Factual
COVID-19 is caused by WiFi signals,Hoax
NASA launched a new satellite,Factual
5G towers spread COVID-19,Hoax
NASA launched a new satellite,Factual
Climate change is a government conspiracy,Hoax
A new hospital was inaugurated in Surabaya,Factual
Banks will erase all debts next month,Hoax
Researchers published findings in a scientific journal,Factual
The earth is flat and NASA hides the truth,Hoax
The earth revolves around the sun,Factual
Climate change is a government conspiracy,Hoax
The temperature today reached 30 degrees Celsius,Factual
5G towers spread COVID-19,Hoax
The president held a meeting in Jakarta,Factual
The earth is flat and NASA hides the truth,Hoax
WHO approved several COVID-19 vaccines,Factual
The government controls the weather,Hoax
Indonesia won 2 gold medals in the Olympics,Factual
Drinking bleach cures coronavirus,Hoax
The earth revolves around the sun,Factual
Vaccines contain microchips for tracking,Hoax
The central bank adjusted interest rates,Factual
Hospitals implant tracking devices secretly,Hoax
The Indonesian parliament passed a new law,Factual
The sun revolves around the earth,Hoax
The stock market closed higher today,Factual
Vaccines contain microchips for tracking,Hoax
Water boils at 100 degrees Celsius,Factual
Garlic can cure all viruses,Hoax
NASA launched a new satellite,Factual
The earth is flat and NASA hides the truth,Hoax
NASA launched a new satellite,Factual
Climate change is a government conspiracy,Hoax
Bananas grow in tropical regions,Factual
Banks will erase all debts next month,Hoax
The earth revolves around the sun,Factual
Chocolate helps you lose 20kg in a week,Hoax
Indonesia won 2 gold medals in the Olympics,Factual
Garlic can cure all viruses,Hoax
Bananas grow in tropical regions,Factual
Garlic can cure all viruses,Hoax
The president held a meeting in Jakarta,Factual
The government controls the weather,Hoax
Indonesia won 2 gold medals in the Olympics,Factual
The earth is flat and NASA hides the truth,Hoax
Indonesia won 2 gold medals in the Olympics,Factual
The government controls the weather,Hoax
Researchers published findings in a scientific journal,Factual
5G towers spread COVID-19,Hoax
The president held a meeting in Jakarta,Factual
Hospitals implant tracking devices secretly,Hoax
The earth revolves around the sun,Factual
Climate change is a government conspiracy,Hoax
WHO approved several COVID-19 vaccines,Factual
The moon landing was fake,Hoax
Researchers published findings in a scientific journal,Factual
COVID-19 is caused by WiFi signals,Hoax
The central bank adjusted interest rates,Factual
Banks will erase all debts next month,Hoax
NASA launched a new satellite,Factual
The earth is flat and NASA hides the truth,Hoax
The stock market closed higher today,Factual
5G towers spread COVID-19,Hoax
The president held a meeting in Jakarta,Factual
The earth is flat and NASA hides the truth,Hoax
The stock market closed higher today,Factual
