Index,Title,True_Label,Predicted_Label,Result
1,"Saudi Arabia says foils Islamic State bomb, foreign spying plots",Factual,Factual,CORRECT
2, GOP Just Demanded Hillary Clinton Give Them A ‘Plan’ To Fix Healthcare And Got ROASTED ALIVE (TWEETS),Hoax,Hoax,CORRECT
3,AUDIT REVEALS: 150 AFGHAN TROOPS Have Gone AWOL In U.S. During Training…Some Still Missing,Hoax,Hoax,CORRECT
4, Watch Elizabeth Warren DESTROY Donald Trump in Epic Tweetstorm (TWEETS),Hoax,Hoax,CORRECT
5,Mohammed Dahlan speaks about Palestinian unity and his back-room role,Factual,Factual,CORRECT
6,Democrats Won’t Have A Chance in 2018 Unless They Start to Do This,Hoax,Hoax,CORRECT
7, ‘F*cking Grow Up’: The Internet Destroys Trump After He Says He Would Have Won Against Obama,Hoax,Hoax,CORRECT
8,TRUMP ADVISOR Has Warning For Syria That Has Saved Lives [Video],Hoax,Hoax,CORRECT
9,South Korean inbound travel agency says China bans group tours to South,Factual,Factual,CORRECT
10,VALERIE JARRETT JUST MOVED INTO Barack And Michelle Obama’s DC Home…Plans To Help OUST Trump…ERIC HOLDER WARNS: “It’s coming…He’s coming…He’s ready to roll”,Hoax,Hoax,CORRECT
11,"Bahrain convicts activist's family members, militant suspects",Factual,Hoax,WRONG
12, Trump Stole An Idea From North Korean Propaganda Parody Account To Push His Stupid Wall (DETAILS),Hoax,Hoax,CORRECT
13,Myanmar's Rohingya exodus: A desperate escape,Factual,Factual,CORRECT
14,FORD’S NEW CEO SNUBS President Trump…Will Build Focus In China…Export To U.S.,Hoax,Factual,WRONG
15, Watch Elizabeth Warren Clobber Trump And Scott Brown: ‘Celebrity Apprentice Meets Biggest Loser’,Hoax,Hoax,CORRECT
16,WATCH: NY TOWN REJECTS Pledge Of Allegiance…”Total Waste Of Time”…Could Raise First Amendment Issues,Hoax,Hoax,CORRECT
17,NOT FUNNY! #PaulRyan Bashes Trump Last Night At Al Smith Dinner [Video],Hoax,Hoax,CORRECT
18,"Defying warnings, residents refuse to leave Mumbai's crumbling buildings",Factual,Factual,CORRECT
19,COLLEGE PROFESSOR CAUGHT ON TAPE: You Can’t Have Peace If ‘Whiteness’ Exists…Poor Whites Also Have ‘Privilege”,Hoax,Hoax,CORRECT
20,Turkey's Erdogan targets U.S. ambassador over visa dispute,Factual,Factual,CORRECT
21,Senate's McConnell says Obamacare repeal high on agenda,Factual,Factual,CORRECT
22,BLACK LIVES MATTER ORGANIZER Refuses To Meet With Obama And Race Hustlers…Calls Meeting At White House: “Sham…Photo-Op…Sound Bite For Obama”,Hoax,Hoax,CORRECT
23,House oversight panel chair: Sessions should 'clarify his testimony',Factual,Factual,CORRECT
24,Factbox: Long history of U.S. leakers to media facing charges,Factual,Factual,CORRECT
25,"HILLARY PANDERS FOR BLACK VOTE: Busts Out In AWKARD, Fake Laugh When “Grieving Mom” Brings Up Cheating Bill [VIDEO]",Hoax,Hoax,CORRECT
26,BRAVE FBI AGENTS Come Forward On Clinton Email Scandal: “Comey thought this was going to go away”,Hoax,Hoax,CORRECT
27,EU Commission 'horrified' by killing of Maltese journalist,Factual,Factual,CORRECT
28, CAUGHT ON CAMERA: Trump Supporter Goes RABID Against Hillary Supporters On Flight (VIDEO),Hoax,Hoax,CORRECT
29,"France wants Hariri movements' free, able to play role in Lebanon",Factual,Factual,CORRECT
30,VIRAL VIDEO: MAN CALLS OUT BLACK LIVES MATTER For Not Helping Louisiana Flood Victims,Hoax,Hoax,CORRECT
31,"SAN BERNARDINO: Two Adults Dead, Two Injured In School Murder-Suicide",Hoax,Hoax,CORRECT
32,BUSTED! OBAMA’S DOJ EXTORTS MONEY FROM BANKS To Fund Radical Groups To Push Hillary Vote,Hoax,Hoax,CORRECT
33," WATCH: Morning Joe Host Tells Kellyanne Conway To Go F*ck Herself, BANS Her From Show",Hoax,Hoax,CORRECT
34,Factbox: Florida's most deadly and destructive hurricanes,Factual,Factual,CORRECT
35,Tokyo Governor Koike leaves door open for ruling party PM post election,Factual,Factual,CORRECT
36, GOP Rep. Steve King: The Time ‘Has Passed’ For Release Of Trump’s Tax Returns (VIDEO),Hoax,Factual,WRONG
37, Rush Limbaugh: Legalize Rape By Calling It A Civil Rights Issue (AUDIO),Hoax,Hoax,CORRECT
38,Pope candidly admits Church 'arrived late' in confronting abuse,Factual,Hoax,WRONG
39, Maine’s Governor Somehow Gets More Racist: I Can’t Understand Indian People Without Interpreter,Hoax,Hoax,CORRECT
40,Senators challenge Trump plan to privatize air traffic control,Factual,Factual,CORRECT
41,Germany's Merkel working toward spring meeting with Trump: sources,Factual,Factual,CORRECT
42,FLASHBACK VIDEO: Al Sharpton Assaults FOX News Reporter For Asking Baltimore Mayor Why She Allowed Thugs Loot And Burn Down Businesses,Hoax,Hoax,CORRECT
43,Croatia government survives no-confidence vote over Agrokor debt crisis,Factual,Factual,CORRECT
44,GOP LAWMAKER: Susan Rice Should Be Hit With Criminal Charges [Video],Hoax,Hoax,CORRECT
45," Alec Baldwin Just Put Trump’s Idiot Supporters In Their Place, And It Was Beautiful (VIDEO)",Hoax,Hoax,CORRECT
46,VIDEO SHOWS SCARY TRUTH About What Decades Of Democrat Ruled #DETROIT Looks Like Today…While Dem Mayor Tells Glowing Story Of “Success”,Hoax,Hoax,CORRECT
47,BEN CARSON Speaks Out On Trump Controversy…Democrats Are Panicking,Hoax,Hoax,CORRECT
48,"AMBASSADOR CHRIS STEVENS’ Fiancé Speaks Out About Hillary Leaving Him To Die: “If he was a friend, you don’t let a friend down” [VIDEO]",Hoax,Hoax,CORRECT
49,THOUSANDS Of Containers ROTTING At San Juan Port After STRIKING Union Drivers Allegedly REFUSE To Deliver Goods…LIBERAL Mayor Has Some Explaining To Do,Hoax,Hoax,CORRECT
50,"Trump ‘Diversity Council’ Member Threatens to Quit If Trump Ends DACA…Bye, Bye! [Video]",Hoax,Hoax,CORRECT
51,China's cyber watchdog imposes top fines on tech firms over censorship,Factual,Factual,CORRECT
52, Spike Lee Celebrates MLK Day By Announcing Boycott Of ‘Lily White’ Oscars (IMAGE/VIDEO),Hoax,Hoax,CORRECT
53, With One Tweet Elizabeth Warren Lays Down The Solid Truth About This Week’s Killings,Hoax,Factual,WRONG
54,Scottish parliament offices briefly evacuated in suspect white powder scare,Factual,Factual,CORRECT
55,WATCH DESPERATE GRANNY HILLARY CLINTON: Hip Selfies And TV Appearances On Ellen As She Sinks In The Polls,Hoax,Hoax,CORRECT
56,"WOW! CHICAGO REPORTEDLY FINDS At Least 14,000 More Votes Than Voters In 2016 Election",Hoax,Hoax,CORRECT
57,How Trump is Accelerating the Decline of US Global Influence,Hoax,Hoax,CORRECT
58, Trump Jr. Once Again Shows His Lack Of Humanity With Disgusting Tweet About Syrian Refugees,Hoax,Hoax,CORRECT
59,"WHEN A GOVERNMENT PUTS IMMIGRANTS BEFORE CITIZENS: Swedish Citizens Have No Place To Live, No Jobs, Need To Carry Guns Everywhere They Go",Hoax,Hoax,CORRECT
60,"Arizona Rancher Protesting in Oregon is Targeted by CPS, Loses Custody of Foster Children",Hoax,Hoax,CORRECT
61, Neil DeGrasse Tyson Perfectly Explains Why Black Lives Matter Exists,Hoax,Hoax,CORRECT
62,"Sickening Reason COP-HATING, RACIST 49’ers QB Colin Kaepernick Just Announced He’ll Now Stand For National Anthem",Hoax,Hoax,CORRECT
63, New Study PROVES It’s Republicans Who Are To Blame For Slow Economy,Hoax,Hoax,CORRECT
64,BREAKING: COURAGEOUS FEDERAL JUDGE DENIES OBAMA’S REQUEST TO LIFT STAY ON EXECUTIVE AMNESTY,Hoax,Hoax,CORRECT
65,Spanish foreign ministry says to expel North Korean ambassador,Factual,Factual,CORRECT
66,"Top Senate Republican, White House, aim for tax bill by year-end",Factual,Factual,CORRECT
